[2020-08-23 21:28:18,984] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 21:28:19,014] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 21:57:12,485] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 21:57:12,516] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 21:57:13,375] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-23 21:57:13,376] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-23 21:57:13,376] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-23 21:57:13,376] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-23 21:57:45,793] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 21:57:45,825] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 21:59:57,027] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 21:59:57,057] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 21:59:57,915] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-23 21:59:57,915] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-23 21:59:57,915] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-23 21:59:57,915] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-23 22:02:01,767] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:02:01,798] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 22:04:05,278] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:04:05,309] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 22:04:06,179] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-23 22:04:06,179] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-23 22:04:06,179] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-23 22:04:06,180] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-23 22:06:18,658] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:06:18,688] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 22:07:23,354] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:07:23,384] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 22:08:25,891] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:08:25,921] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-08-23 22:08:26,987] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-08-23 22:08:26,987] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-08-23 22:08:26,988] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-08-23 22:08:26,988] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-08-23 22:10:08,874] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-08-23 22:10:08,904] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
